gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Tenure_Group,TotalAddon_Count,Is_Automatic_Payment,Avg_Monthly_Charge,Monthly_vs_Average_Diff,Customer_Value_Tier
Female,No,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.7,1519.0,No,Loyal (37-60m),0,1,26.189655172413797,-1.4896551724137943,Low_Value
Female,No,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,86.0,1164.05,No,Established (13-36m),2,0,83.14642857142857,2.853571428571428,High_Value
Male,No,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.4,1710.9,No,Veteran (61m+),0,0,23.762500000000003,1.6374999999999955,Low_Value
Male,No,No,No,46,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.15,4245.55,No,Loyal (37-60m),2,1,92.29456521739132,-3.1445652173913032,High_Value
Female,No,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.9,No,Veteran (61m+),5,1,58.39295774647887,-0.1429577464788707,Medium_Value
Male,No,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.65,2664.3,No,Established (13-36m),1,1,83.259375,2.390625,High_Value
Female,No,No,No,26,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.35,1277.5,No,Established (13-36m),3,1,49.13461538461539,1.2153846153846146,Medium_Value
Male,Yes,Yes,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.35,5589.3,No,Veteran (61m+),1,1,82.19558823529412,-1.8455882352941304,High_Value
Male,No,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.2,34.75,No,New (0-12m),0,0,17.375,2.8249999999999997,Low_Value
Male,No,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.55,1305.95,No,Veteran (61m+),0,1,21.409016393442624,-0.8590163934426229,Low_Value
Female,No,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,381.3,Yes,New (0-12m),1,0,95.325,-9.375,High_Value
Male,No,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.35,141.5,Yes,New (0-12m),0,0,47.16666666666666,-1.8166666666666629,Medium_Value
Male,Yes,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.5,3105.55,Yes,Established (13-36m),2,0,94.10757575757576,0.3924242424242408,Top_Value
Male,Yes,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.25,204.55,No,New (0-12m),0,0,22.727777777777774,-1.477777777777778,Low_Value
Female,No,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.25,605.9,No,Established (13-36m),0,0,27.54090909090909,-1.2909090909090892,Low_Value
Female,No,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.85,356.1,No,New (0-12m),1,0,71.22,9.629999999999995,High_Value
Female,Yes,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),91.7,2758.15,Yes,Established (13-36m),3,1,91.93833333333332,-0.2383333333333297,Top_Value
Male,No,No,No,65,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),74.2,4805.65,No,Veteran (61m+),4,1,73.93307692307691,0.2669230769230921,High_Value
Female,No,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,87.25,3941.7,Yes,Loyal (37-60m),2,0,87.59333333333333,-0.3433333333333337,High_Value
Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,92.75,No,New (0-12m),0,0,18.55,1.8000000000000007,Low_Value
Male,No,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1901.05,No,Established (13-36m),1,0,76.042,-0.5420000000000016,High_Value
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),79.05,5730.7,No,Veteran (61m+),1,1,79.59305555555555,-0.5430555555555543,High_Value
Female,No,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),90.15,2423.4,No,Established (13-36m),2,1,89.75555555555556,0.3944444444444457,Top_Value
Male,No,Yes,Yes,32,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),50.6,1653.45,No,Established (13-36m),3,1,51.6703125,-1.0703125,Medium_Value
Female,No,No,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),110.45,3327.05,No,Established (13-36m),5,1,110.90166666666669,-0.451666666666668,Top_Value
Male,No,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),101.0,7085.5,No,Veteran (61m+),5,1,101.22142857142858,-0.221428571428575,Top_Value
Male,Yes,No,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.35,3344.1,No,Loyal (37-60m),1,1,79.62142857142857,-0.2714285714285722,High_Value
Female,Yes,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.85,6697.35,No,Veteran (61m+),6,1,93.01875,-3.168750000000017,High_Value
Female,No,No,No,47,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,65.0,2879.9,No,Loyal (37-60m),3,0,61.27446808510639,3.7255319148936152,Medium_Value
Female,No,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.45,137.1,No,New (0-12m),2,0,68.55,11.900000000000006,High_Value
Male,No,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.55,1008.55,Yes,New (0-12m),3,0,100.855,-2.3049999999999926,Top_Value
Female,No,Yes,Yes,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.1,1551.6,No,Veteran (61m+),0,0,25.43606557377049,-1.3360655737704903,Low_Value
Female,No,No,No,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.05,202.15,No,New (0-12m),0,1,40.43,3.619999999999997,Medium_Value
Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,7882.25,No,Veteran (61m+),5,1,109.47569444444444,1.3243055555555543,Top_Value
Male,Yes,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.95,8196.4,No,Veteran (61m+),6,1,113.83888888888887,1.1111111111111145,Top_Value
Female,Yes,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,75.05,202.9,No,New (0-12m),1,0,67.63333333333334,7.416666666666657,High_Value
Male,No,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.25,855.1,No,Loyal (37-60m),0,0,17.814583333333335,1.435416666666665,Low_Value
Female,No,No,No,63,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),90.05,5817.0,No,Veteran (61m+),3,1,92.33333333333331,-2.2833333333333314,Top_Value
Female,No,No,No,27,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,56.7,1652.95,No,Established (13-36m),2,0,61.220370370370375,-4.520370370370372,Medium_Value
Male,No,Yes,Yes,70,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),80.15,5600.15,No,Veteran (61m+),5,1,80.00214285714286,0.1478571428571484,High_Value
Male,No,Yes,Yes,7,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),71.35,515.75,No,New (0-12m),4,1,73.67857142857143,-2.3285714285714363,High_Value
Female,No,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35,190.5,No,New (0-12m),3,0,95.25,-4.900000000000006,Top_Value
Male,Yes,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.55,1842.8,Yes,Established (13-36m),3,0,92.14,6.409999999999997,Top_Value
Male,No,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1253.8,No,Veteran (61m+),0,1,18.996969696969696,0.7030303030303031,Low_Value
Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,57.2,No,New (0-12m),0,0,19.066666666666663,0.783333333333335,Low_Value
Female,No,No,Yes,15,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.9,1269.55,Yes,Established (13-36m),2,1,84.63666666666667,1.2633333333333354,High_Value
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),90.35,6563.4,No,Veteran (61m+),3,1,91.15833333333332,-0.8083333333333371,Top_Value
Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.8,20.8,No,New (0-12m),0,0,20.8,0.0,Low_Value
Female,No,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,89.25,1907.85,Yes,Established (13-36m),2,0,86.72045454545454,2.529545454545456,High_Value
Male,No,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,208.85,Yes,New (0-12m),0,0,69.61666666666666,0.6833333333333371,Medium_Value
Female,No,Yes,Yes,72,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),66.85,4758.8,No,Veteran (61m+),3,1,66.09444444444445,0.7555555555555458,Medium_Value
Male,No,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,1292.6,No,Veteran (61m+),0,0,19.88615384615385,0.0138461538461527,Low_Value
Female,No,No,No,11,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,35.8,363.15,No,New (0-12m),1,0,33.01363636363636,2.786363636363639,Medium_Value
Male,No,No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,78.85,1600.25,No,Established (13-36m),1,0,72.73863636363636,6.1113636363636346,High_Value
Male,No,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.4,275.7,No,Established (13-36m),0,1,19.692857142857143,0.7071428571428555,Low_Value
Male,No,No,No,41,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.25,3089.1,No,Loyal (37-60m),1,0,75.34390243902439,-1.09390243902439,High_Value
Male,No,Yes,No,17,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,64.8,1175.6,No,Established (13-36m),3,0,69.15294117647058,-4.35294117647058,Medium_Value
Male,No,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.45,237.3,No,New (0-12m),0,1,21.572727272727278,-1.1227272727272748,Low_Value
Male,No,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.35,1444.65,Yes,Established (13-36m),2,0,96.31,-2.960000000000008,Top_Value
Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,19.9,Yes,New (0-12m),0,0,19.9,0.0,Low_Value
Female,No,Yes,No,5,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,88.9,454.15,Yes,New (0-12m),3,0,90.83,-1.9299999999999928,High_Value
Male,No,Yes,No,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,95.8,3036.75,Yes,Established (13-36m),3,0,92.02272727272728,3.777272727272731,Top_Value
Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),110.65,8065.65,No,Veteran (61m+),5,1,112.02291666666666,-1.3729166666666544,Top_Value
Female,No,Yes,Yes,3,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,40.3,92.5,No,New (0-12m),2,0,30.83333333333333,9.466666666666663,Medium_Value
Male,No,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,82.0,184.65,Yes,New (0-12m),1,0,92.325,-10.325000000000005,High_Value
Female,No,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),107.0,6152.3,No,Loyal (37-60m),5,1,104.27627118644068,2.723728813559319,Top_Value
Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.35,89.5,Yes,New (0-12m),0,0,44.75,0.6000000000000014,Medium_Value
Male,No,Yes,Yes,71,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),73.35,5154.5,No,Veteran (61m+),4,1,72.59859154929578,0.7514084507042185,High_Value
Female,No,Yes,Yes,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.8,220.45,No,New (0-12m),0,0,44.09,0.7100000000000009,Medium_Value
Male,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),54.75,1510.3,No,Established (13-36m),2,1,55.93703703703704,-1.187037037037037,Medium_Value
Female,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.2,52.2,Yes,New (0-12m),1,0,52.2,0.0,Medium_Value
Male,No,No,Yes,63,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),40.6,2588.95,No,Veteran (61m+),3,1,41.09444444444444,-0.49444444444444,Medium_Value
Female,Yes,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,110.0,4874.8,Yes,Loyal (37-60m),5,0,105.97391304347826,4.026086956521738,Top_Value
Male,No,Yes,Yes,72,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),55.3,3983.6,No,Veteran (61m+),1,1,55.327777777777776,-0.0277777777777785,Medium_Value
Female,No,Yes,No,34,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),60.85,2003.6,No,Established (13-36m),2,1,58.92941176470588,1.9205882352941188,Medium_Value
Female,No,Yes,Yes,24,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,78.4,1832.4,No,Established (13-36m),4,0,76.35000000000001,2.049999999999997,High_Value
Male,No,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.65,4908.25,No,Veteran (61m+),4,1,68.17013888888889,1.47986111111112,Medium_Value
Female,No,Yes,Yes,60,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),59.85,3590.2,No,Loyal (37-60m),5,1,59.836666666666666,0.0133333333333354,Medium_Value
Male,No,No,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),76.9,5023.0,No,Veteran (61m+),4,1,73.86764705882354,3.0323529411764696,High_Value
Female,No,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.85,146.6,No,New (0-12m),0,0,18.325,1.525000000000002,Low_Value
Female,No,No,Yes,34,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),67.65,2339.3,No,Established (13-36m),4,1,68.8029411764706,-1.1529411764705912,Medium_Value
Female,No,No,No,6,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),45.0,298.7,No,New (0-12m),2,1,49.78333333333333,-4.783333333333331,Medium_Value
Male,No,Yes,No,2,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,64.2,143.65,No,New (0-12m),3,0,71.825,-7.625,Medium_Value
Male,No,No,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),81.7,2548.65,No,Established (13-36m),1,1,82.21451612903226,-0.5145161290322591,High_Value
Female,No,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.55,507.4,No,Established (13-36m),0,1,25.37,0.1800000000000032,Low_Value
Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.0,20.0,No,New (0-12m),0,0,20.0,0.0,Low_Value
Male,No,No,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,96.75,6125.4,Yes,Veteran (61m+),3,0,98.7967741935484,-2.046774193548387,Top_Value
Female,Yes,Yes,No,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),75.65,5411.4,No,Veteran (61m+),0,1,77.30571428571427,-1.655714285714268,High_Value
Female,No,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,1058.25,Yes,New (0-12m),3,0,105.825,-7.325000000000003,Top_Value
Male,No,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.8,903.8,No,Loyal (37-60m),0,0,23.174358974358974,0.625641025641027,Low_Value
Female,No,Yes,No,46,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),64.2,3009.5,No,Loyal (37-60m),3,1,65.42391304347827,-1.2239130434782624,Medium_Value
Male,No,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.35,489.45,Yes,New (0-12m),2,0,81.575,3.774999999999992,High_Value
Female,No,Yes,Yes,72,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.8,5468.45,No,Veteran (61m+),3,1,75.95069444444444,0.84930555555556,High_Value
Male,No,No,No,18,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,1058.1,No,Established (13-36m),2,1,58.78333333333333,-3.5833333333333286,Medium_Value
Male,No,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.55,7616.0,No,Veteran (61m+),5,1,107.26760563380282,1.282394366197181,Top_Value
Male,No,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,4113.1,Yes,Loyal (37-60m),3,0,102.8275,-1.5275000000000176,Top_Value
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,Yes,New (0-12m),0,0,69.55,0.0,Medium_Value
Male,No,No,No,58,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.25,6017.65,Yes,Loyal (37-60m),4,1,103.75258620689657,-0.5025862068965523,Top_Value
Male,No,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.0,7250.15,Yes,Veteran (61m+),4,1,103.57357142857144,0.4264285714285734,Top_Value
Female,No,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.25,1108.2,No,Loyal (37-60m),0,0,26.38571428571429,-1.135714285714286,Low_Value
Male,No,Yes,Yes,34,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),30.4,938.65,No,Established (13-36m),1,1,27.60735294117647,2.7926470588235297,Low_Value
Male,Yes,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.05,94.15,No,New (0-12m),0,1,18.83,1.2199999999999989,Low_Value
Female,No,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.6,2088.05,No,Established (13-36m),1,0,83.522,1.0779999999999887,High_Value
Female,No,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.2,178.7,Yes,New (0-12m),2,0,89.35,-3.1499999999999915,High_Value
Female,No,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),103.7,5656.75,No,Loyal (37-60m),5,1,102.85,0.8500000000000085,Top_Value
Male,No,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,Yes,Established (13-36m),5,0,110.33809523809524,0.8619047619047677,Top_Value
Male,No,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),88.0,5986.45,No,Veteran (61m+),3,1,85.52071428571428,2.479285714285723,High_Value
Female,No,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,6751.35,No,Veteran (61m+),4,0,110.67786885245904,-4.327868852459034,Top_Value
Male,No,Yes,Yes,43,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.15,3566.6,No,Loyal (37-60m),5,1,82.94418604651163,-3.7941860465116255,High_Value
Male,No,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.1,4889.3,No,Loyal (37-60m),4,0,104.02765957446807,-0.9276595744680948,Top_Value
Male,No,No,No,5,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),63.95,318.1,No,New (0-12m),3,1,63.620000000000005,0.3299999999999983,Medium_Value
Female,No,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.8,1563.95,No,Veteran (61m+),0,1,25.225,0.5749999999999993,Low_Value
Female,No,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.45,1430.25,Yes,Established (13-36m),3,1,89.390625,0.0593750000000028,High_Value
Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,644.35,Yes,New (0-12m),2,1,92.05,3.549999999999997,Top_Value
Female,No,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.55,372.45,No,Established (13-36m),0,0,26.603571428571428,-1.053571428571427,Low_Value
Male,No,Yes,Yes,60,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,90.95,5453.4,Yes,Loyal (37-60m),3,0,90.89,0.0600000000000022,Top_Value
Male,No,Yes,Yes,34,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,44.85,1442.6,No,Established (13-36m),3,0,42.42941176470588,2.420588235294119,Medium_Value
Female,No,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,108.55,5610.7,Yes,Loyal (37-60m),5,0,112.214,-3.6640000000000015,Top_Value
Male,No,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.05,963.95,No,Loyal (37-60m),0,1,25.367105263157896,-0.3171052631578952,Low_Value
Female,No,Yes,Yes,70,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),74.1,5222.3,No,Veteran (61m+),5,1,74.60428571428572,-0.5042857142857287,High_Value
Female,No,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.8,3340.55,No,Loyal (37-60m),2,0,90.28513513513514,-1.4851351351351385,High_Value
Female,Yes,No,No,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.85,292.8,Yes,New (0-12m),1,0,73.2,5.649999999999992,High_Value
Male,Yes,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.25,5774.55,No,Loyal (37-60m),3,0,96.2425,-2.992500000000007,Top_Value
Male,No,Yes,Yes,62,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),71.4,4487.3,No,Veteran (61m+),4,1,72.3758064516129,-0.9758064516128968,High_Value
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.4,44.4,Yes,New (0-12m),0,0,44.4,0.0,Medium_Value
Male,No,No,No,36,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.2,2854.95,No,Established (13-36m),5,1,79.30416666666666,-0.1041666666666571,High_Value
Male,No,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,905.55,No,Loyal (37-60m),0,1,20.580681818181816,-0.1806818181818172,Low_Value
Female,Yes,No,No,55,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.0,5509.3,Yes,Loyal (37-60m),3,0,100.16909090909093,-0.1690909090909116,Top_Value
Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),105.0,7589.8,No,Veteran (61m+),4,1,105.41388888888888,-0.4138888888888914,Top_Value
